anime_id,jpg_small,jpg_large,webp_small,webp_large
23051,https://cdn.myanimelist.net/images/anime/7/59753t.jpg,https://cdn.myanimelist.net/images/anime/7/59753l.jpg,https://cdn.myanimelist.net/images/anime/7/59753t.webp,https://cdn.myanimelist.net/images/anime/7/59753l.webp
23053,https://cdn.myanimelist.net/images/anime/2/59755t.jpg,https://cdn.myanimelist.net/images/anime/2/59755l.jpg,https://cdn.myanimelist.net/images/anime/2/59755t.webp,https://cdn.myanimelist.net/images/anime/2/59755l.webp
23057,https://cdn.myanimelist.net/images/anime/2/59759t.jpg,https://cdn.myanimelist.net/images/anime/2/59759l.jpg,https://cdn.myanimelist.net/images/anime/2/59759t.webp,https://cdn.myanimelist.net/images/anime/2/59759l.webp
55826,https://cdn.myanimelist.net/images/anime/1983/136831t.jpg,https://cdn.myanimelist.net/images/anime/1983/136831l.jpg,https://cdn.myanimelist.net/images/anime/1983/136831t.webp,https://cdn.myanimelist.net/images/anime/1983/136831l.webp
23059,https://cdn.myanimelist.net/images/anime/6/59761t.jpg,https://cdn.myanimelist.net/images/anime/6/59761l.jpg,https://cdn.myanimelist.net/images/anime/6/59761t.webp,https://cdn.myanimelist.net/images/anime/6/59761l.webp
23061,https://cdn.myanimelist.net/images/anime/7/59763t.jpg,https://cdn.myanimelist.net/images/anime/7/59763l.jpg,https://cdn.myanimelist.net/images/anime/7/59763t.webp,https://cdn.myanimelist.net/images/anime/7/59763l.webp
23067,https://cdn.myanimelist.net/images/anime/8/74140t.jpg,https://cdn.myanimelist.net/images/anime/8/74140l.jpg,https://cdn.myanimelist.net/images/anime/8/74140t.webp,https://cdn.myanimelist.net/images/anime/8/74140l.webp
23079,https://cdn.myanimelist.net/images/anime/12/64265t.jpg,https://cdn.myanimelist.net/images/anime/12/64265l.jpg,https://cdn.myanimelist.net/images/anime/12/64265t.webp,https://cdn.myanimelist.net/images/anime/12/64265l.webp
55850,https://cdn.myanimelist.net/images/anime/1083/136916t.jpg,https://cdn.myanimelist.net/images/anime/1083/136916l.jpg,https://cdn.myanimelist.net/images/anime/1083/136916t.webp,https://cdn.myanimelist.net/images/anime/1083/136916l.webp
23083,https://cdn.myanimelist.net/images/anime/13/64049t.jpg,https://cdn.myanimelist.net/images/anime/13/64049l.jpg,https://cdn.myanimelist.net/images/anime/13/64049t.webp,https://cdn.myanimelist.net/images/anime/13/64049l.webp
55866,https://cdn.myanimelist.net/images/anime/1478/140828t.jpg,https://cdn.myanimelist.net/images/anime/1478/140828l.jpg,https://cdn.myanimelist.net/images/anime/1478/140828t.webp,https://cdn.myanimelist.net/images/anime/1478/140828l.webp
23099,https://cdn.myanimelist.net/images/anime/2/59811t.jpg,https://cdn.myanimelist.net/images/anime/2/59811l.jpg,https://cdn.myanimelist.net/images/anime/2/59811t.webp,https://cdn.myanimelist.net/images/anime/2/59811l.webp
23101,https://cdn.myanimelist.net/images/anime/1441/104166t.jpg,https://cdn.myanimelist.net/images/anime/1441/104166l.jpg,https://cdn.myanimelist.net/images/anime/1441/104166t.webp,https://cdn.myanimelist.net/images/anime/1441/104166l.webp
55871,https://cdn.myanimelist.net/images/anime/1591/136964t.jpg,https://cdn.myanimelist.net/images/anime/1591/136964l.jpg,https://cdn.myanimelist.net/images/anime/1591/136964t.webp,https://cdn.myanimelist.net/images/anime/1591/136964l.webp
55878,https://cdn.myanimelist.net/images/anime/1463/136983t.jpg,https://cdn.myanimelist.net/images/anime/1463/136983l.jpg,https://cdn.myanimelist.net/images/anime/1463/136983t.webp,https://cdn.myanimelist.net/images/anime/1463/136983l.webp
23115,https://cdn.myanimelist.net/images/anime/2/72302t.jpg,https://cdn.myanimelist.net/images/anime/2/72302l.jpg,https://cdn.myanimelist.net/images/anime/2/72302t.webp,https://cdn.myanimelist.net/images/anime/2/72302l.webp
23121,https://cdn.myanimelist.net/images/anime/5/64299t.jpg,https://cdn.myanimelist.net/images/anime/5/64299l.jpg,https://cdn.myanimelist.net/images/anime/5/64299t.webp,https://cdn.myanimelist.net/images/anime/5/64299l.webp
55894,https://cdn.myanimelist.net/images/anime/1160/138465t.jpg,https://cdn.myanimelist.net/images/anime/1160/138465l.jpg,https://cdn.myanimelist.net/images/anime/1160/138465t.webp,https://cdn.myanimelist.net/images/anime/1160/138465l.webp
23133,https://cdn.myanimelist.net/images/anime/4/60273t.jpg,https://cdn.myanimelist.net/images/anime/4/60273l.jpg,https://cdn.myanimelist.net/images/anime/4/60273t.webp,https://cdn.myanimelist.net/images/anime/4/60273l.webp
